title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
QT开发工程师,西安,c,本科,3-5年,"[""QT"", ""C++"", ""Windows"", ""\u5ba2\u6237\u7aef\u5f00\u53d1"", ""\u4e0a\u4f4d\u673a\u5f00\u53d1""]","[7000, 12000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u9910\u8865\uff0c\u8282\u65e5\u798f\u5229\uff0c\u4ea4\u901a\u8865\u52a9""]",人力行政经理,张女士人力行政经理,0,中星伟业,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190306/d72bd3fd4a03ce754eb04971aaf5cc14ac05a88e9b5ad2500f7ac69070c77743.png?x-oss-process=image/resize,w_100,limit_0",通信/网络设备,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/b46386af6224ee4a1n1z29i5FFtV.html?lid=1yypL1TEwGf.search.209&securityId=8B2kILTXma3j0-31g6i_LwC9v-uEqMt0Jp_Xm1DYSulYj2i3c1bc4L0GGCHbxazaibVf2qPwqycLbQ_0I32RK-kZZ0jJhY-7s0yVR40vmylZNphIzg~~&sessionId=,https://www.zhipin.com/gongsi/c4668a609911e5721HJ92d21EA~~.html,
嵌入式软件工程师,北京,c,本科,5-10年,"[""\u5d4c\u5165\u5f0f\u6280\u672f"", ""\u97f3\u89c6\u9891\u5f00\u53d1"", ""Linux"", ""\u9ad8\u7ea7\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""\u67b6\u6784\u5e08""]","[25000, 40000]",13薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u9910\u8865\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5b9a\u671f\u4f53\u68c0""]",副总裁,曾先生副总裁,0,鸿合,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180322/4b60c552bfe701f3e4359508ac1e3d6050c499161b871be51ef0ca652a30dea3.jpg?x-oss-process=image/resize,w_100,limit_0",智能硬件,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/6ef50b281d9f951b1nZz3dy9EVtT.html?lid=1yypL1TEwGf.search.210&securityId=S3OYUBMy-rfT0-01k8v9JIQDGQMGEpzL3a5V1IlDgmhjk8T9BaiD4WLsShHXUnU29bOD4BQAluaPW1PHP4ONgu6ZFXKz95kXZxjczCAyQYiTuSo7yg~~&sessionId=,https://www.zhipin.com/gongsi/6dab4a8e153f56c31nJ_3dy7Fg~~.html,海淀区
c++/QT开发工程师,长沙,c,硕士,3-5年,"[""C++"", ""Python"", ""Oracle"", ""\u684c\u9762\u5f00\u53d1\u7ecf\u9a8c""]","[9000, 14000]",13薪,"[""\u8282\u65e5\u798f\u5229\uff0c\u9910\u8865\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5168\u52e4\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u610f\u5916\u9669\uff0c\u7ee9\u6548\u5956\u91d1""]",HR,周先生HR,0,湖南挚新科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210325/7da397099c3b0b693565cd4c763118391a54769740c239534aedde0f3494c28f_s.jpg?x-oss-process=image/resize,w_100,limit_0",电子/硬件开发,未融资,"[20, 99]",https://www.zhipin.com/job_detail/8b4c5a0ecefec09b1XB52NW5EVNU.html?lid=1yxK6LBBelW.search.211&securityId=vEU86YnuWf-eB-P1bo9lOTyS_N2ThJGtzEnH4XeA4klkq7OAmAVtG8Qtwl6CZF_BGv4_7zp_2LdL58nrvyYOYidliMhTxqFHndVSLIGUzquPB31sHlwJ&sessionId=,https://www.zhipin.com/gongsi/681ab3d03bcb29751nRy0ty_F1s~.html,岳麓区
嵌入式电子工程师,深圳,c,本科,1-3年,"[""\u5d4c\u5165\u5f0f\u6280\u672f"", ""C#"", ""\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""\u9ad8\u7ea7\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""\u5355\u7247\u673a\u5f00\u53d1"", """", """", """"]","[7000, 12000]",0薪,"[""\u7ee9\u6548\u5956\u91d1\uff0c\u5305\u4f4f\uff0c\u52a0\u73ed\u8865\u52a9""]",HR,曾先生HR,0,宇腾韵科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/3db50f7bbb3dd1521nF42tS0ElNV.html?lid=1yxK6LBBelW.search.212&securityId=EL8DduifzGR5c-v1oo94RPH5uWaQm4HA75z6OLYs_eFA5Trom9z7LnY5gmKXZx_FLFG8xMgkx4ySP4m4Q89E6xsIgj4VSycuSUfUF9IKdkKZVnDZmk4~&sessionId=,https://www.zhipin.com/gongsi/c2d5768579e1f7ac3nF-2t-0EA~~.html,宝安区
voip开发工程师,杭州,c,大专,1-3年,"[""C++"", ""C\u8bed\u8a00"", ""Java""]","[12000, 16000]",0薪,"[""\u901a\u8baf\u8865\u8d34\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u9910\u8865\uff0c\u8282\u65e5\u798f\u5229\uff0c\u80a1\u7968\u671f\u6743\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u5e74\u7ec8\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u6709\u65e0\u7ebf\u7f51\uff0c\u751f\u65e5\u798f\u5229""]",运营经理,杨先生运营经理,0,秒道控股,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230323/7bf6f160950405e99d13ef92f4154c5780c209c05bc962d671e85a8258f64c7023b25ce1fc1f1f98.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,天使轮,"[20, 99]",https://www.zhipin.com/job_detail/235d917c566f872c1XJy3NS7E1JU.html?lid=1yxK6LBBelW.search.213&securityId=ze0ZZ0CxDQtFu-A16XTYDQldIwQKi5MOBJ15OulZonfuFXsnNCHiOdzW_Q91k8ZLeVUMGkrMj40FP52jQaxxwDPZzu9QfNLt6jNnQFWDzkA0juhDDQ~~&sessionId=,https://www.zhipin.com/gongsi/7d7899fdf60a1d021nd_3NW1FQ~~.html,余杭区
sdn转发面网络研发工程师,北京,c,本科,3-5年,"[""C\u8bed\u8a00"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""ovs"", ""dpdk"", ""vpp""]","[60000, 90000]",0薪,"[""\u4f01\u4e1a\u5e74\u91d1\uff0c\u9ad8\u6e29\u8865\u8d34\uff0c\u8865\u5145\u516c\u79ef\u91d1\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa\uff0c\u9910\u8865\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u8282\u65e5\u798f\u5229\uff0c\u514d\u8d39\u5de5\u88c5\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5de5\u9f84\u5956\uff0c\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u610f\u5916\u9669\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u751f\u65e5\u798f\u5229""]",软件开发工程师,李先生软件开发工程师,0,中移,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190219/21fbda5308227e820ca6028141c7be2ecfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/5642af527f78e1921XN80tu_EldV.html?lid=1yxK6LBBelW.search.214&securityId=011uDZqDhkrpM-11t_cpLXsXe3oPnn0AUDyuUGmw7Q-dmi721a56e6XakwbZ9hMWDxX6cbYMxh0TBl4ra365WYhfZQn3qbhe1BGkH_DUQgCpRGSOdQ~~&sessionId=,https://www.zhipin.com/gongsi/2648244e9b13ed5b1XR709S7Fg~~.html,
C++,杭州,c,大专,1-3年,"[""C++"", ""C\u8bed\u8a00"", ""MFC"", ""Winform""]","[10000, 11000]",0薪,无,经理,廖先生经理,0,白贝,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",游戏,未融资,"[0, 20]",https://www.zhipin.com/job_detail/dd6afa91069081d11nR92di7F1tQ.html?lid=1yxK6LBBelW.search.215&securityId=AL6nZ74tqzdL8-j1tYLXvdSpnd8780ZzKWdOwkZlCOG2oe5rgfq-A3Zd1kuYtAnWa4JGbCMsPyDHLzNHosbkYnEOAqp3Fg3-VdwjptZ1w5YjSvrKj3s~&sessionId=,https://www.zhipin.com/gongsi/a4839bcc285171c80HN43NW8FA~~.html,拱墅区
C++初级开发工程师,莆田,c,大专,经验不限,"[""SQL"", ""\u591a\u8fdb\u7a0b"", ""\u591a\u7ebf\u7a0b"", ""\u56fe\u5f62\u56fe\u50cf\u5904\u7406"", ""MFC"", ""Oracle""]","[5000, 10000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u80a1\u7968\u671f\u6743\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u8282\u65e5\u798f\u5229\uff0c\u901a\u8baf\u8865\u8d34""]",人事行政经理,黄先生人事行政经理,0,智慧三维,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[0, 20]",https://www.zhipin.com/job_detail/7882bbbf26ae7ed11Xd-09S6E1BS.html?lid=1yxK6LBBelW.search.216&securityId=ZJbTYvOwi6Fp7-31Ac8QPWYQxaJpHd7n2C0V594N-QPJu6aj0z6X_xGGIWImBJ48PwfwE2kSEyuVOXFQYMc8LywS6vgN_cXWOASvk6B4PeXWiCgaq9E~&sessionId=,https://www.zhipin.com/gongsi/522d445033e9833f1nB73tS7FFM~.html,城厢区
主机游戏服务端高级架构师,北京,c,本科,3-5年,"[""C/C++"", ""Java"", ""\u7cfb\u7edf\u67b6\u6784""]","[40000, 45000]",0薪,无,人事行政专员,李女士人事行政专员,0,零壹互娱,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180118/81dce42ac216cff65d7f004bcfd60e8fcfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",游戏,A轮,"[20, 99]",https://www.zhipin.com/job_detail/c0ba59333d8ddca903Zz2dS_FlU~.html?lid=1yxK6LBBelW.search.217&securityId=K3DiBItDDpAmJ-31-4Hy2aVSgYhY0_jKV3stljnzcXxSgigsTXVbbr3eBiLwOLGW9tEx73CbT3wyG91x52aTtgSmfcOBhKTbUtgiFN13sbjdvJ0~&sessionId=,https://www.zhipin.com/gongsi/117f4338eadaba3133R_2d66.html,海淀区
脚本开发工程师,福州,c,学历不限,经验不限,"[""\u6e38\u620f""]","[9000, 14000]",0薪,无,人事部经理,徐先生人事部经理,0,九零,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",游戏,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/ad327cbe1166c2200HNz39y9ElU~.html?lid=1yxK6LBBelW.search.218&securityId=hx-GHoImWQu27-e1y2Ue8LEcVirokDr2N8pm25d_SNLKjBcZtVFfe2FH-DcIk1RAj8me_gDaoEpBeQ4KeLQp4fVUZSshXcIRqD92j8ifIBv9VHK7YQ~~&sessionId=,https://www.zhipin.com/gongsi/8c15ebc1b9b536c30HNy29q6EQ~~.html,连江县
