职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
RPO项目招聘主管/朝九晚六/周末双休/,5000-8000元,西安诺和晟宇管理咨询有限公司,西安,雁塔,电子城,3-5年,大专,企业服务,100-299人,民营
项目实施经理,1.1-1.6万,北京中经网软件开发有限公司,西安,雁塔,丈八沟,5-10年,本科,互联网,20-99人,国企
陕西分公司项目经理,6000-8000元,央视国际网络有限公司,西安,灞桥,纺织城,3-5年,本科,互联网,1000-9999人,国企
仓储项目经理,5000-7000元,西安卓飞科技工程有限责任公司,西安,雁塔,丈八沟,3-5年,大专,建筑设备安装,20-99人,民营
系统集成项目经理,1-1.5万·13薪,因诺科技,西安,雁塔,鱼化寨,3-5年,本科,船舶/航空/航天/火车制造,300-499人,民营
项目执行负责人,7000-12000元,西安世纪金属结构有限公司,西安,雁塔,电子城,3-5年,大专,金属制品业,100-299人,民营
弱电智能化项目经理,7000-10000元,陕西诺一恒源商贸有限公司,西安,雁塔,漳浒寨,1-3年,大专,烟草/酒业,20-99人,
项目经理——万科物业,9000-10000元,万物云空间科技服务股份有限公司,西安,雁塔,等驾坡,经验不限,大专,物业管理,10000人以上,股份制企业
阿尔及利亚隧道/桥梁项目测量主管,1.4-2万,中交二公局铁路建设有限公司,西安,长安,王曲,3-5年,本科,工程施工,1000-9999人,国企
理赔 项目经理/运营经理（五险一金+双休+法定假）,6000-10000元,因朔桔(上海)智能科技有限公司,西安,雁塔,丈八沟,5-10年,大专,计算机软件,100-299人,民营
保险项目经理,1-1.8万,中国平安人寿保险股份有限公司陕西分公司西安市新城第二营销服务部,西安,新城,中山门,1-3年,本科,保险,1000-9999人,股份制企业
人资项目经理,7000-9000元,四川杰成人力资源服务有限公司,西安,雁塔,丈八沟,3-5年,大专,咨询服务,1000-9999人,民营
集成项目经理（智慧矿山-新疆）,1-2万·14薪,浪潮集团,西安,未央,张家堡,5-10年,本科,IT服务,10000人以上,国企
大厂正编-项目交付经理/客服交付经验,1.2-2.4万,位来小猎(宁波)信息技术有限公司,西安,新城,青年路,3-5年,大专,计算机软件,100-299人,合资
项目经理,1.2-1.5万,陕西科胜建设集团有限公司,西安,未央,张家堡,5-10年,大专,房地产开发,100-299人,民营
光伏项目经理,8000-12000元,陕西鼎鑫建设工程有限公司,西安,灞桥,纺织城,3-5年,本科,建筑设备安装,20-99人,股份制企业
【驻非洲】道路项目经理 Senior PM on road project,2.5-4万,青岛联凯建筑工程有限公司,西安,莲湖,红庙坡,5-10年,本科,工程施工,1000-9999人,民营
项目经理,8000-10000元,陕西兰宇工程科技有限公司,西安,未央,大明宫,5-10年,大专,石油/石化,20-99人,民营
公益项目经理,6000-8000元,深圳市联康医疗技术有限公司,西安,新城,长乐中路,3-5年,大专,医疗设备/器械,20-99人,股份制企业
智能化项目经理/弱电项目经理,5000-8000元,华优智能技术股份有限公司,西安,未央,张家堡,1-3年,大专,建筑设备安装,20-99人,股份制企业
三终端项目经理,8000-15000元,内蒙古库伦蒙药有限公司,西安,未央,徐家湾,1-3年,学历不限,医药制造,100-299人,股份制企业
不良资产处置项目经理,1.5-1.6万,陕西百朝建筑有限公司,西安,雁塔,曲江,10年以上,学历不限,房地产开发,20-99人,民营
测绘项目经理,4000-7000元,陕西坤正资源勘测规划设计有限公司,西安,未央,张家堡,1-3年,本科,建筑设计,20-99人,民营
工商业光伏项目开发经理（西安）,1-2万,山东贝特新能源科技有限公司,西安,未央,徐家湾,经验不限,学历不限,新能源,20-99人,股份制企业
商务经理（旅游行业信息化项目）,7000-14000元,陕西云创网络科技股份有限公司,西安,雁塔,长延堡,3-5年,本科,互联网,100-299人,国企
土地咨询项目经理,4000-8000元,陕西宝讯宏迈项目咨询有限公司,西安,未央,三桥,1-3年,本科,咨询服务,20人以下,民营
充电桩建站项目经理,5000-10000元,陕西泰尔电力设备有限公司,西安,雁塔,,1-3年,大专,电子设备制造,20-99人,民营
项目经理,4000-5000元,西安旭禾后勤服务管理有限公司,西安,长安,韦曲,1-3年,中专/中技,餐饮服务,300-499人,
项目经理,7000-14000元,陕西新海港房地产开发有限公司,西安,雁塔,曲江,5-10年,大专,房地产开发,20-99人,港澳台公司
弱电智能化工程项目经理,6000-8000元,陕西斯科德智能科技有限公司,西安,未央,汉城,3-5年,大专,工程施工,20-99人,民营
项目经理,6000-10000元,中金旅投资控股有限公司,西安,长安,韦曲,经验不限,本科,基金,20-99人,国企
储备项目经理,4000-5000元,陕西启迪天碧蓝科技服务有限公司,西安,雁塔,丈八沟,经验不限,本科,环保,10000人以上,上市公司
预审报批项目经理,1-2万,西安泽佳自然资源勘测有限公司,西安,雁塔,丈八沟,3-5年,本科,专业技术服务,20人以下,
项目经理,8000-15000元,西安奥若特材料技术有限公司,西安,雁塔,,1-3年,大专,船舶/航空/航天/火车制造,100-299人,民营
ALD项目副总经理,4-6万,北方工业科技有限公司,西安,未央,建章路,10年以上,硕士,投资/融资,20-99人,国企
甲方工地项目经理,8000-14000元,西安市远征科技(集团)有限公司,西安,未央,草滩,5-10年,本科,仪器仪表制造,100-299人,民营
ERP项目经理（智慧矿山）,1-2万·14薪,浪潮集团,西安,未央,张家堡,5-10年,本科,IT服务,10000人以上,国企
电网规划项目经理/组长（西安）,7000-10000元,上海博英信息科技有限公司,西安,碑林,长安路,3-5年,本科,计算机软件,100-299人,民营
项目经理,1.2-2.2万,北京领为军融科技有限公司,西安,雁塔,漳浒寨,3-5年,本科,计算机软件,100-299人,民营
项目经理,5000-9000元,西安捷锐消防科技有限责任公司,西安,碑林,文艺路,3-5年,本科,学术/科研,20-99人,民营
物业项目经理（高新三期）,8000-9000元·14薪,中铁建物业管理有限公司,西安,长安,兴隆,3-5年,本科,物业管理,10000人以上,国企
项目开发经理,8000-15000元,陕西阳光普惠综合能源管理有限公司,西安,雁塔,丈八沟,1-3年,本科,新能源,20-99人,民营
项目管理岗,1-2万,特变电工,西安,雁塔,丈八沟,无经验,本科,电气机械/电力设备,10000人以上,上市公司
工程经理/主管,面议,杭州中美华东制药有限公司,西安,,,3-5年,本科,医药制造,10000人以上,上市公司
卫星遥感农业项目市场经理,1-2万,陕西宝塔星空航天科技有限公司,西安,未央,三桥,3-5年,本科,云计算/大数据,20-99人,民营
项目经理,1-1.5万,安而信检测技术有限公司,西安,雁塔,丈八沟,5-10年,本科,检测/认证,20人以下,民营
交付项目经理,1-1.5万,西安申昊科技有限公司,西安,雁塔,等驾坡,3-5年,本科,人工智能,20-99人,上市公司
项目主管（早九晚六+双休+人力资源行业）,6000-8000元,英格玛(苏州)控股有限公司,西安,碑林,长安路,3-5年,大专,人力资源服务,1000-9999人,民营
项目负责人,1.1-1.3万,陕西春秋建工工程集团有限公司,西安,雁塔,杜城,3-5年,本科,建筑设备安装,100-299人,民营
硬件项目经理,1-1.5万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
项目经理,1.5-2万,陕西宇阳石油科技工程有限公司,西安,未央,张家堡,10年以上,学历不限,石油/石化,100-299人,民营
项目经理（含西安地区）,8000-15000元,北京均友,西安,雁塔,丈八沟,5-10年,大专,仪器仪表制造,100-299人,民营
大数据项目经理,1.5-2万·15薪,能科瑞元,西安,雁塔,丈八沟,5-10年,本科,计算机软件,1000-9999人,上市公司
光学项目经理,1.2-1.8万,陕西康荣信智慧医学系统股份有限公司,西安,雁塔,,3-5年,本科,医疗设备/器械,100-299人,民营
项目经理,9000-13000元,深圳市安捷工业光电有限公司,西安,未央,三桥,3-5年,本科,物联网,300-499人,
项目经理（西安驻地）,8000-15000元,北京均友,西安,雁塔,丈八沟,3-5年,本科,仪器仪表制造,100-299人,民营
项目经理,1.5-2.2万,中译语通科技(陕西)有限公司,西安,,,10年以上,本科,互联网,20-99人,国企
项目管理工程师（ 西安）,9000-18000元·13薪,麦格米特,西安,雁塔,丈八沟,3-5年,本科,电子/半导体/集成电路,1000-9999人,上市公司
招标代理项目经理,1.2-1.6万,北京国科军友工程咨询有限公司,西安,雁塔,电子城,3-5年,本科,咨询服务,100-299人,国企
华为项目助理（PCM),9000-15000元,西安长河通讯有限责任公司,西安,雁塔,丈八沟,1-3年,大专,运营商/增值服务,1000-9999人,民营
项目经理 银行项目 出差宁波,1.1-2.2万,北京神州数字科技有限公司,西安,雁塔,,3-5年,本科,计算机软件,10000人以上,上市公司
项目经理（航空航天测控或仿真项目 / 产品开发）,1-2万,西安创亿达微电子测控系统有限公司,西安,雁塔,丈八沟,3-5年,本科,船舶/航空/航天/火车制造,20-99人,民营
弱电项目经理,4000-8000元,西安新昌智能系统工程有限公司,西安,碑林,东关南街,1-3年,大专,电力/水利/热力/燃气,20-99人,民营
ISW项目经理,1.5-2万·13薪,艾默生科技资源,西安,长安,郭杜,10年以上,本科,专业技术服务,500-999人,外商独资
信息化项目管理工程师（初级）（工作地点：西安）,6000-8000元,重庆信息通信研究院,西安,长安,王寺,1-3年,本科,通信/网络设备,500-999人,国企
招标项目经理,4000-6000元,华夏城投项目管理有限公司,西安,未央,张家堡,3-5年,大专,房地产开发,100-299人,民营
项目主管,4000-6000元,西安磐能电力科技有限公司,西安,雁塔,丈八沟,1-3年,大专,电力/水利/热力/燃气,20-99人,
物业项目经理（储备）,1.1-1.3万,广州天力物业发展有限公司太原分公司,西安,长安,韦曲,3-5年,大专,物业管理,1000-9999人,上市公司
实施项目经理,9000-13000元,立信德豪管理咨询有限公司西安分公司,西安,雁塔,丈八沟,5-10年,本科,企业服务,20-99人,其它
物业项目经理,9000-12000元,万物云空间科技服务股份有限公司,西安,雁塔,曲江,1-3年,本科,物业管理,10000人以上,股份制企业
西北大区大项目经理（需要出差）,1.2-1.8万,杭州新中大科技,西安,雁塔,丈八沟,5-10年,本科,计算机软件,500-999人,民营
项目经理/主管,1-1.5万·14薪,西安中熔电气股份有限公司,西安,长安,郭杜,1-3年,本科,仪器仪表制造,1000-9999人,上市公司
项目经理,1-1.5万,万旭宏业集团有限公司,西安,未央,大明宫,5-10年,大专,装饰装修,100-299人,民营
项目经理（煤矿智能化）,8000-15000元·13薪,龙软科技,西安,雁塔,丈八沟,经验不限,本科,计算机软件,500-999人,上市公司
碧桂园物业项目经理/总监（陕西省内）,面议,碧桂园生活服务集团股份有限公司,西安,未央,徐家湾,3-5年,大专,物业管理,10000人以上,民营
物业项目经理医院,5000-10000元,立新众联务管保安集团有限公司,西安,未央,大明宫,1-3年,大专,物业管理,1000-9999人,其它
项目主管,1.5-2万,北京凌空天行科技有限责任公司,西安,长安,韦曲,3-5年,本科,船舶/航空/航天/火车制造,300-499人,民营
项目经理/供应商管理经理,8000-16000元·13薪,北京中科宇航技术有限公司西安分公司,西安,长安,韦曲,3-5年,本科,船舶/航空/航天/火车制造,500-999人,民营
项目交付部负责人(049111),4-6万,隆基绿能科技股份有限公司,西安,未央,六村堡,10年以上,本科,新能源,10000人以上,股份制企业
IDC交付经理,面议,中兴通讯,西安,雁塔,杜城,5-10年,本科,运营商/增值服务,10000人以上,股份制企业
项目管理岗,1.1-1.5万,特变电工新能源公司,西安,长安,郭杜,3-5年,本科,新能源,1000-9999人,上市公司
工装项目经理,1-1.5万,陕西大尧文化发展有限公司,西安,雁塔,丈八沟,5-10年,本科,工程技术与设计服务,20-99人,
项目经理,8000-13000元·13薪,中海华晟数字科技有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,100-299人,民营
航测内业采集部项目经理,6000-10000元,陕西鑫雅图空间信息技术有限公司,西安,长安,韦曲,3-5年,本科,工程施工,100-299人,民营
软件交付项目经理,1.5-1.8万,北京三维天地科技股份有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,1000-9999人,股份制企业
项目经理,8000-10000元,陕西京泽实业有限公司,西安,未央,谭家,1-3年,本科,电气机械/电力设备,20-99人,
物业项目经理,1.2-1.5万·13薪,保利物业服务股份有限公司陕西分公司,西安,未央,徐家湾,5-10年,大专,物业管理,1000-9999人,国企
幕墙项目经理,8000-12000元,西安翔远装饰工程有限责任公司,西安,雁塔,丈八沟,5-10年,大专,装饰装修,20-99人,民营
B/S项目经理,1-1.5万,西安市骁海电子科技有限公司,西安,雁塔,漳浒寨,3-5年,本科,计算机软件,20人以下,民营
（团膳行业）项目经理,6000-8000元,陕西宝地餐饮服务管理有限公司,西安,雁塔,杜城,1-3年,本科,餐饮服务,500-999人,民营
装配式建筑项目经理,1.8-2.6万,尧柏特种水泥集团有限公司,西安,长安,韦曲,5-10年,本科,房地产开发,1000-9999人,上市公司
生产项目经理,6000-8000元,陕西启业实业集团有限公司,西安,雁塔,丈八沟,5-10年,大专,人力资源服务,100-299人,民营
综合薪资8k~10k 项目主管,7000-10000元,中科信创技术有限公司,西安,雁塔,丈八沟,3-5年,本科,运营商/增值服务,300-499人,民营
项目经理（长期出差）,1-1.5万,江苏瑞升华能源科技有限公司,西安,未央,张家堡,5-10年,大专,环保,500-999人,民营
防水保温项目经理,8000-15000元,陕西中江建筑工程有限公司,西安,雁塔,曲江,3-5年,中专/中技,房地产开发,20-99人,民营
项目经理,1.1-2万,天健九方(西安)毫米波设计研究院有限公司,西安,碑林,张家村,5-10年,本科,电子/半导体/集成电路,100-299人,民营
智能弱电项目经理,6000-9000元,陕西中科智能建筑工程有限公司,西安,雁塔,丈八沟,5-10年,本科,建筑设备安装,20-99人,民营
项目经理,1-1.5万,西安拓普电气有限责任公司,西安,高新区,丈八沟,3-5年,本科,专用设备制造,20-99人,民营
驻场项目经理,7000-10000元,陕西阿拉丁工程造价咨询有限公司,西安,灞桥,新筑,3-5年,大专,房地产开发,20-99人,民营
电力工程项目经理,8000-15000元,陕西华晟源电力工程有限公司,西安,雁塔,曲江,3-5年,大专,电气机械/电力设备,20-99人,民营
硬件项目经理,1-1.6万,软通动力信息技术(集团)股份有限公司,西安,长安,王寺,3-5年,本科,互联网,10000人以上,民营
高级项目经理,1.5-2万·13薪,思安新能源股份有限公司,西安,雁塔,丈八沟,经验不限,本科,电力/水利/热力/燃气,300-499人,民营
技术部门经理（实施交付管理岗）,1.2-1.6万,杭州新中大科技,西安,雁塔,电子城,5-10年,本科,计算机软件,500-999人,民营
EPC项目经理,1-1.5万,北京北科欧远科技有限公司山西分公司,西安,雁塔,丈八沟,3-5年,大专,环保,500-999人,民营
项目经理,6000-8000元,陕西恒泰新科科技有限公司,西安,碑林,长安路,1-3年,大专,通信/网络设备,20-99人,股份制企业
硬件项目经理,1.2-2.4万,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,3-5年,本科,互联网,10000人以上,民营
项目经理,7000-12000元,北京嘉华汇诚科技股份有限公司,西安,未央,三桥,3-5年,本科,计算机软件,100-299人,股份制企业
项目经理,7000-12000元,西安艾蒙希科技有限公司,西安,雁塔,电子城,3-5年,本科,仪器仪表制造,20-99人,股份制企业
电力工程项目经理,1-1.5万,陕西科耀达建设工程有限公司,西安,雁塔,丈八沟,3-5年,学历不限,电力/水利/热力/燃气,20-99人,民营
项目经理,1.6-2.5万,陕西金刚石装饰工程有限公司,西安,未央,大明宫,5-10年,本科,房地产开发,100-299人,民营
数据中心项目管理,1.1-2万,成都山康技术服务有限公司,西安,雁塔,丈八沟,1-3年,大专,网络/信息安全,1000-9999人,民营
项目经理,8000-15000元,西安天宙矿业科技集团有限公司,西安,雁塔,小寨路,5-10年,本科,矿产/采掘,500-999人,民营
成果转化项目经理（洛阳）,5000-10000元,清研(洛阳)先进制造产业研究院,西安,雁塔,丈八沟,1-3年,硕士,科学技术推广,100-299人,事业单位
项目管理经理,8000-13000元,追梦空天科技(苏州)有限公司,西安,雁塔,杜城,5-10年,本科,船舶/航空/航天/火车制造,20-99人,民营
混凝土搅拌站站长（项目经理）,3-4万,中核混凝土股份有限公司,西安,未央,汉城,5-10年,本科,非金属矿物制品业,1000-9999人,国企
电力工程项目经理,1-1.5万,陕西隆地卓益智慧能源科技有限公司,西安,雁塔,丈八沟,5-10年,大专,电力/水利/热力/燃气,20-99人,民营
项目运营,1-2万,西安众知汇创科技有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,20-99人,
绩效评价项目经理,8000-12000元,西安匠心智同企业管理咨询有限公司,西安,雁塔,丈八沟,5-10年,本科,咨询服务,20人以下,民营
物业高端项目经理,1.2-1.8万·14薪,上海万达物业服务有限公司天津分公司,西安,雁塔,丈八沟,3-5年,大专,企业服务,100-299人,民营
项目经理（砂石骨料+矿山运维）,1-1.5万,西安春晖实业集团有限公司,西安,未央,谭家,5-10年,大专,矿产/采掘,500-999人,民营
新能源项目项目经理,1.2-2万,中国电建集团西北勘测设计研究院有限公司,西安,长安,韦曲,5-10年,本科,电力/水利/热力/燃气,1000-9999人,国企
物业项目副经理一西安金贸园,8000-10000元,北银置业有限公司,西安,雁塔,丈八沟,3-5年,大专,物业管理,300-499人,其它
项目经理,5000-10000元·13薪,西安京通科技有限公司,西安,雁塔,电子城,3-5年,大专,工程施工,20-99人,民营
研发管理,8000-15000元,中法高速铁路技术(西安)有限公司,西安,未央,六村堡,3-5年,本科,专用设备制造,100-299人,合资
项目经理-医院准入项目管理 (MJ010986),1.5-2.5万,江苏恒瑞医药股份有限公司,西安,雁塔,小寨路,3-5年,本科,医药制造,10000人以上,股份制企业
土建项目经理,1-1.1万,西安吉盛元昌建设有限公司,西安,雁塔,杜城,1-3年,学历不限,工程施工,20人以下,
智慧电站项目经理,1.8-2万,龙源(北京)新能源工程技术有限公司,西安,长安,郭杜,3-5年,硕士,电力/水利/热力/燃气,100-299人,国企
项目经理,5000-10000元,西安天润人力资源有限公司,西安,碑林,长安路,3-5年,本科,专业技术服务,300-499人,民营
软件项目经理,7000-12000元·13薪,西安驭思软件科技有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,20-99人,民营
项目经理,5000-8000元,陕西胜创实业有限公司,西安,雁塔,丈八沟,3-5年,本科,运营商/增值服务,20-99人,股份制企业
弱电智能化项目经理,8000-15000元,中恒天成科技股份有限公司,西安,雁塔,,5-10年,大专,建筑设备安装,100-299人,股份制企业
机电项目经理,1.5-2万·14薪,西安黑石智能科技有限公司,西安,雁塔,曲江,5-10年,本科,专业技术服务,500-999人,民营
项目经理,8000-15000元,中科光智(重庆)科技有限公司,西安,长安,王寺,3-5年,本科,电子/半导体/集成电路,20-99人,民营
项目经理 银行项目制 驻场宁波,1.1-2.2万,北京神州数字科技有限公司,西安,雁塔,,3-5年,本科,计算机软件,10000人以上,上市公司
科技项目申报主管/经理（双休、五险一金）,8000-15000元,定华电子,西安,雁塔,丈八沟,3-5年,本科,仪器仪表制造,100-299人,股份制企业
物业项目经理,1-1.4万·14薪,上海永绿置业有限公司,西安,雁塔,丈八沟,经验不限,大专,物业管理,1000-9999人,国企
门窗项目经理,8000-10000元,陕西亿恒天幕科技有限公司,西安,长安,郭杜,5-10年,大专,装饰装修,20-99人,民营
电力工程项目经理,1-1.5万·13薪,陕西中和瑞聚电力科技有限公司,西安,雁塔,丈八沟,5-10年,大专,电力/水利/热力/燃气,20-99人,民营
物业项目副经理,6000-10000元·13薪,新大正物业集团股份有限公司,西安,长安,高桥,3-5年,本科,物业管理,10000人以上,民营
物业项目经理（金域名城）,8000-10000元,西安荣鑫智生活服务股份有限公司,西安,未央,大明宫,3-5年,大专,物业管理,1000-9999人,民营
项目经理,8000-10000元,陕西建峻诚宇建设工程有限公司,西安,未央,张家堡,1-3年,本科,工程施工,20-99人,
项目经理,5000-8000元,金风易通,西安,雁塔,丈八沟,1-3年,大专,IT服务,100-299人,民营
epm项目管理,面议,中软国际,西安,碑林,张家村,1-3年,本科,计算机软件,10000人以上,上市公司
项目经理,5000-9000元,莱茵科斯特,西安,新城,韩森寨,1-3年,大专,培训/辅导服务,500-999人,合资
项目经理,1-1.5万,延安鑫广池石油工程技术服务有限公司,西安,,张家堡,1-3年,大专,石油/石化,100-299人,民营
装饰装修工程项目经理,8000-12000元,陕西思维联创建筑设计研究院有限公司,西安,雁塔,电子城,5-10年,大专,建筑设计,20-99人,民营
硬件项目经理,1-1.7万·13薪,西安安泰电子科技有限公司,西安,长安,郭杜,5-10年,本科,电子设备制造,100-299人,民营
项目经理（电力工程）,8000-12000元,开能智慧能源有限公司,西安,新城,长乐西路,3-5年,本科,电力/水利/热力/燃气,100-299人,民营
中高级项目经理,1-1.5万·13薪,北京华天海峰科技股份有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,100-299人,股份制企业
河南融创服务-归雁计划-项目经理,1-1.3万·13薪,北京融创控股集团有限公司,西安,长安,韦曲,3-5年,大专,房地产开发,10000人以上,股份制企业
化工智能工厂大项目经理,1.5-3万·15薪,和利时集团,西安,雁塔,漳浒寨,5-10年,本科,仪器仪表制造,1000-9999人,上市公司
项目经理,8000-14000元,秦汉建设工程有限公司,西安,雁塔,丈八沟,3-5年,大专,工程施工,20-99人,民营
ERP项目经理(财务方向）,8000-16000元·13薪,浪潮集团,西安,未央,张家堡,5-10年,本科,IT服务,10000人以上,国企
项目经理,5000-10000元,陕西西电高科中低压开关有限公司,西安,雁塔,漳浒寨,3-5年,大专,电力/水利/热力/燃气,20-99人,民营
光伏 / 风电项目经理,1-1.8万·13薪,陕西建工安装集团矿业有限公司,西安,雁塔,长延堡,5-10年,大专,建筑设备安装,20-99人,国企
软件项目经理,1.5-2万,西安创客村电子商务有限责任公司,西安,长安,郭杜,5-10年,本科,互联网,300-499人,民营
项目经理（团膳）,7000-12000元,西安品优实业有限公司,西安,雁塔,丈八沟,3-5年,大专,餐饮服务,1000-9999人,民营
研发项目经理 西安地区,8000-15000元·13薪,陕西秦科世博航空科技有限公司,西安,雁塔,杜城,3-5年,本科,船舶/航空/航天/火车制造,20-99人,民营
项目经理,1.1-1.8万,陕西浩睿建设工程有限公司,西安,长安,郭杜,3-5年,大专,房地产开发,20-99人,
项目经理,8000-10000元,陕西万豪建筑工程有限公司,西安,未央,张家堡,经验不限,学历不限,房地产开发,100-299人,民营
施工项目经理,1.1-1.2万·13薪,简阳市石井芬建筑安装工程有限公司,西安,新城,胡家庙,1-3年,大专,工程施工,20-99人,
新能源EPC项目经理/副经理（水电、风电、光伏、抽水蓄能）,1.7-3万,中国水利水电建设工程咨询西北有限公司,西安,长安,韦曲,10年以上,本科,电力/水利/热力/燃气,1000-9999人,国企
java中级开发工程师,9000-10000元·13薪,厦门市秀小荷蕊网络科技有限公司,西安,莲湖,桃园路,1-3年,大专,计算机软件,20-99人,
Java研发工程师,1-1.2万,博彦科技承德有限公司,西安,雁塔,漳浒寨,1-3年,大专,IT服务,1000-9999人,股份制企业
java开发,1-1.5万,深圳市法本信息技术股份有限公司,西安,灞桥,席王,3-5年,本科,计算机软件,1000-9999人,上市公司
Java,1-1.3万,软通动力信息技术(集团)股份有限公司,西安,长安,王寺,5-10年,本科,互联网,10000人以上,民营
Java开发工程师,1-1.5万,北京计算机技术及应用研究所,西安,长安,韦曲,经验不限,硕士,计算机硬件,1000-9999人,事业单位
RJ-Java开发工程师（中级）,1.2-1.6万·13薪,北京万维盈创科技发展有限公司,西安,长安,郭杜,3-5年,本科,环保,500-999人,民营
java开发工程师,9000-13000元,软通动力信息技术(集团)股份有限公司,西安,长安,王寺,经验不限,本科,互联网,10000人以上,民营
java实习生,100-150元/天,东华软件股份公司,西安,雁塔,漳浒寨,无经验,本科,计算机软件,1000-9999人,上市公司
RJ-Java开发工程师（优秀应届生岗）,6000-8000元·13薪,北京万维盈创科技发展有限公司,西安,长安,郭杜,无经验,本科,环保,500-999人,民营
资深java开发工程师,9000-13000元,软通动力信息技术(集团)股份有限公司,西安,长安,王寺,5-10年,本科,互联网,10000人以上,民营
Java开发工程师,5000-8000元·13薪,西安翱翔科信软件有限责任公司,西安,雁塔,丈八沟,1-3年,本科,计算机软件,100-299人,民营
RJ-Java开发工程师（初级）,9000-12000元·13薪,北京万维盈创科技发展有限公司,西安,长安,郭杜,1-3年,本科,环保,500-999人,民营
中高级JAVA开发,1.5-1.8万,软通动力信息技术(集团)股份有限公司,西安,灞桥,席王,3-5年,本科,互联网,10000人以上,民营
初级java开发工程师,8000-12000元,东华医为科技有限公司,西安,雁塔,鱼化寨,1-3年,本科,IT服务,1000-9999人,民营
RJ-Java开发工程师（高级）,1.4-1.8万·13薪,北京万维盈创科技发展有限公司,西安,长安,郭杜,5-10年,本科,环保,500-999人,民营
Java开发实习生,120-130元/天,东华软件股份公司,西安,雁塔,丈八沟,无经验,本科,计算机软件,1000-9999人,上市公司
java开发,1-1.3万,原子猫科技(北京)有限公司,西安,碑林,长乐坊,3-5年,本科,科学技术推广,20-99人,民营
服务端JAVA开发工程师,1.5-2万,西安火眼智能检测研究院有限公司,西安,,丈八沟,10年以上,本科,计算机软件,20-99人,民营
煤矿Java高级开发工程师,8000-16000元·13薪,东华软件股份公司,西安,新城,西一路,3-5年,大专,计算机软件,1000-9999人,上市公司
JAVA/C++/C/Python/JS/GO双休+五险+高薪,2-4万·16薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
[政府补贴]人工智能储备工程师（带薪实训+企业直推）,5000-7000元,西安天润人力资源有限公司,西安,碑林,长安路,经验不限,学历不限,专业技术服务,300-499人,民营
初级java开发工程师,6000-11000元,东华软件股份公司,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,1000-9999人,上市公司
软件开发,6000-8000元,陕西盛为网络科技有限公司,西安,雁塔,长延堡,经验不限,大专,计算机软件,20-99人,民营
急招/Java后端开发+双休五险一金,1.4-1.5万·13薪,临沂云志能源科技有限公司,西安,碑林,太乙路,经验不限,学历不限,IT服务,500-999人,股份制企业
西安—中高级Java（税务管理系统/财管领域）,1.2-1.8万,东华软件股份公司,西安,未央,张家堡,5-10年,本科,计算机软件,1000-9999人,上市公司
java自动化测试-外企/可居家,1.4-1.9万,深圳市法本信息技术股份有限公司,西安,雁塔,丈八沟,5-10年,大专,计算机软件,1000-9999人,上市公司
初级军用软件测试工程师,3000-6000元,西安中科信测科技有限公司,西安,雁塔,丈八沟,1年以下,本科,IT服务,20人以下,股份制企业
Java开发工程师（农发行）,面议,东华软件股份公司,西安,未央,张家堡,3-5年,本科,计算机软件,1000-9999人,上市公司
软件测试助理,4000-6000元,陕西盛为网络科技有限公司,西安,雁塔,电子城,经验不限,大专,计算机软件,20-99人,民营
对日JAVA开发 西安,6000-12000元·13薪,上海达巴辛软件有限公司,西安,雁塔,丈八沟,1-3年,学历不限,计算机软件,20-99人,民营
金融/银行信贷Java开发工程师,8000-12000元,东华软件股份公司,西安,未央,张家堡,3-5年,本科,计算机软件,1000-9999人,上市公司
测试实习生,3000-5000元,陕西盛为网络科技有限公司,西安,雁塔,电子城,1年以下,大专,计算机软件,20-99人,民营
对日JAVA开发工程师,9000-14000元·13薪,上海达巴辛软件有限公司,西安,雁塔,丈八沟,3-5年,学历不限,计算机软件,20-99人,民营
软件开发工程师,9000-18000元,中铁信息工程集团有限公司西安分公司,西安,雁塔,丈八沟,1-3年,本科,计算机硬件,1000-9999人,国企
java/python/C/C++/JS/测试 开发工程师,1-2万·14薪,外企德科数字技术有限公司,西安,长安,郭杜,经验不限,本科,人力资源服务,10000人以上,合资
测试,6000-10000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,经验不限,本科,互联网,10000人以上,民营
软件开发工程师（接受24届、转行）,1-1.8万·15薪,西安码讯电子信息技术有限公司,西安,雁塔,,经验不限,本科,计算机软件,20-99人,民营
java/python/C/C++/JS/测试 开发工程师,1.2-2.4万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
软件工程师实习生,3000-6000元,陕西盛为网络科技有限公司,西安,雁塔,电子城,经验不限,大专,计算机软件,20-99人,民营
