职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
项目经理,8000-10000元,西安硕宇机电设备有限责任公司,西安,莲湖,红庙坡,1-3年,大专,电气机械/电力设备,20人以下,民营
项目商务经理（兼职）,7000-10000元,深圳市联康医疗技术有限公司,西安,新城,长乐中路,5-10年,学历不限,医疗设备/器械,20-99人,股份制企业
实施项目经理--出差,6000-8000元,海格尔,西安,雁塔,丈八沟,3-5年,大专,计算机软件,100-299人,股份制企业
物业项目经理,5000-10000元,立新众联务管保安集团有限公司,西安,未央,大明宫,3-5年,学历不限,物业管理,1000-9999人,其它
工程项目经理,6000-10000元,陕西腾远伟业建设集团有限公司,西安,雁塔,漳浒寨,3-5年,大专,房地产开发,20-99人,
通信工程项目经理（安全员证）,6000-8000元,陕西世纪嘉科通信建设有限公司,西安,莲湖,北院门,1-3年,大专,通信/网络设备,20-99人,民营
游戏本地化项目经理,1-1.2万,创博翻译(北京)有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,1000-9999人,外商独资
审核项目经理 / 10K-14K~,1-1.5万·13薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,5-10年,大专,人力资源服务,10000人以上,合资
物业项目经理,4000-7000元,陕西美伦物业管理有限公司,西安,碑林,长安路,3-5年,大专,物业管理,500-999人,民营
项目经理,9000-18000元·13薪,创业慧康科技股份有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,1000-9999人,上市公司
会议活动项目经理（双休+五险一金）,8000-10000元·13薪,西安虫子会议会展服务有限公司,西安,雁塔,丈八沟,3-5年,本科,会议/展览,20-99人,民营
隆基全球MBA项目经理人(049404),3-6万·15薪,隆基绿能科技股份有限公司,西安,未央,草滩,1-3年,MBA/EMBA,新能源,10000人以上,股份制企业
医院项目经理,1-1.3万·13薪,北京融创控股集团有限公司,西安,灞桥,新筑,10年以上,大专,房地产开发,10000人以上,股份制企业
项目经理（初级）（西安）,6000-8000元,重庆信息通信研究院,西安,长安,王寺,1-3年,本科,通信/网络设备,500-999人,国企
产品交付项目经理,5000-8000元,西安明月华炎信息科技有限公司,西安,长安,郭杜,1-3年,大专,IT服务,100-299人,股份制企业
工程项目经理,5000-7000元,西安靖安特环境科技有限公司,西安,莲湖,漳浒寨,5-10年,大专,环保,20-99人,民营
人力资源项目驻场/经理,6000-9000元,陕西金创人才科技股份有限公司,西安,雁塔,丈八沟,1-3年,大专,人力资源服务,20人以下,民营
项目经理,1-1.6万,北京天链测控技术有限公司,西安,雁塔,曲江,3-5年,大专,船舶/航空/航天/火车制造,100-299人,民营
项目经理（医院保洁项目）,9000-11000元·13薪,深圳市之平物业发展有限公司,西安,雁塔,小寨路,5-10年,大专,物业管理,1000-9999人,民营
信息系统集成工程师/项目经理,6000-12000元,西安永鸿新辉信息科技有限公司,西安,雁塔,丈八沟,3-5年,大专,电子商务,20-99人,
项目经理,1.2-1.6万,嘉洋智慧安全科技(北京)股份有限公司,西安,未央,张家堡,经验不限,本科,IT服务,100-299人,民营
高级项目经理,1-1.6万,陕西公众信息产业有限公司,西安,长安,郭杜,5-10年,本科,通信/网络设备,500-999人,国企
室内分布项目经理,4000-6000元,陕西世纪嘉科通信建设有限公司,西安,,北院门,经验不限,大专,通信/网络设备,20-99人,民营
水利信息化工程实施项目经理,1-1.5万,中国电建集团西北勘测设计研究院有限公司,西安,长安,韦曲,5-10年,本科,电力/水利/热力/燃气,1000-9999人,国企
周至项目运营经理,5000-10000元,北京清扫夫环保服务有限公司,西安,周至,二曲,3-5年,大专,居民服务,1000-9999人,民营
交付项目经理,1.3-2万,北斗天地股份有限公司,西安,长安,郭杜,3-5年,本科,IT服务,300-499人,国企
海外项目经理,5000-10000元,西安天美教育科技有限公司,西安,未央,大明宫,1-3年,本科,培训/辅导服务,20-99人,民营
视频剪辑项目经理+五险一金,1-1.5万,郑州市达内职业培训学校,西安,碑林,长安路,经验不限,大专,培训/辅导服务,1000-9999人,上市公司
PLM项目经理,1.5-2.5万·14薪,南京国睿信维软件有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机软件,100-299人,股份制企业
